host_t,n,gx,gy,gz,ax,ay,az,temp
451775.368228,75118,29,-25,-3,-396,-281,8243,-1788
451775.378196,75119,26,-25,-7,-385,-287,8248,-1794
451775.389066,75120,28,-24,-6,-383,-288,8244,-1794
451775.397385,75121,28,-25,-4,-385,-290,8249,-1788
451775.408311,75122,25,-23,-4,-386,-277,8244,-1780
451775.417399,75123,23,-21,-2,-394,-283,8249,-1780
451775.427302,75124,29,-27,-9,-385,-286,8257,-1788
451775.437267,75125,24,-23,-5,-392,-291,8244,-1788
451775.447252,75126,25,-24,-6,-393,-285,8249,-1788
451775.457921,75127,27,-32,-1,-392,-283,8249,-1788
451775.466388,75128,28,-27,-9,-390,-279,8253,-1784
451775.476447,75129,26,-24,-8,-391,-288,8249,-1784
451775.486465,75130,28,-24,-7,-383,-293,8247,-1794
451775.496358,75131,23,-23,-4,-395,-298,8247,-1794
451775.506353,75132,31,-24,-10,-398,-285,8247,-1796
451775.516358,75133,26,-23,-4,-399,-288,8254,-1786
451775.526409,75134,26,-30,-3,-388,-287,8255,-1786
451775.536304,75135,28,-27,-7,-389,-281,8251,-1788
451775.545454,75136,28,-27,-2,-391,-280,8262,-1788
451775.555396,75137,25,-21,-4,-390,-290,8248,-1790
451775.565368,75138,30,-20,-5,-388,-290,8240,-1790
451775.575313,75139,27,-24,-4,-392,-284,8253,-1784
451775.585400,75140,29,-24,-4,-392,-282,8252,-1784
451775.595716,75141,26,-21,-10,-385,-282,8252,-1784
451775.605258,75142,30,-26,-5,-396,-290,8247,-1784
451775.615273,75143,29,-24,-2,-380,-286,8252,-1786
451775.624401,75144,29,-21,-5,-394,-285,8242,-1782
451775.634354,75145,26,-24,-9,-396,-284,8243,-1782
451775.644361,75146,31,-19,-11,-399,-290,8237,-1788
451775.654371,75147,29,-28,-3,-388,-287,8251,-1788
451775.664334,75148,28,-26,-5,-379,-289,8263,-1790
451775.674315,75149,22,-23,-9,-395,-285,8253,-1790
451775.684249,75150,28,-16,-6,-396,-296,8246,-1790
451775.694341,75151,26,-26,-6,-388,-286,8246,-1790
451775.704267,75152,29,-25,-8,-390,-280,8254,-1786
451775.713525,75153,24,-24,-7,-398,-286,8253,-1786
451775.723392,75154,30,-23,-2,-392,-288,8250,-1788
451775.733333,75155,28,-26,-6,-384,-286,8244,-1790
451775.743809,75156,23,-24,-10,-383,-279,8248,-1790
451775.754190,75157,31,-26,-2,-388,-291,8251,-1790
451775.763329,75158,29,-23,-8,-390,-286,8245,-1790
451775.773288,75159,28,-23,-7,-393,-288,8238,-1784
451775.783406,75160,22,-25,-2,-396,-284,8244,-1784
451775.796858,75161,28,-27,-6,-389,-288,8248,-1794
451775.802428,75162,24,-24,-1,-384,-284,8250,-1794
451775.813190,75163,29,-25,-8,-390,-289,8255,-1790
451775.822443,75164,31,-17,-4,-382,-289,8239,-1790
451775.832673,75165,28,-28,-3,-388,-289,8252,-1790
451775.843264,75166,27,-25,-5,-404,-285,8246,-1790
451775.852364,75167,28,-25,-9,-397,-285,8254,-1780
451775.863728,75168,31,-28,-5,-380,-285,8242,-1780
451775.872290,75169,21,-22,-8,-390,-287,8244,-1780
451775.881389,75170,31,-25,-4,-387,-292,8256,-1782
451775.891542,75171,27,-22,-9,-390,-295,8265,-1782
451775.902099,75172,29,-27,-8,-388,-288,8252,-1788
451775.912349,75173,28,-24,-2,-387,-288,8257,-1788
451775.925372,75174,26,-27,-12,-384,-296,8247,-1786
451775.933022,75175,21,-22,-10,-392,-291,8254,-1786
451775.941321,75176,26,-27,-7,-391,-293,8251,-1784
451775.951256,75177,29,-27,-4,-381,-284,8253,-1784
451775.960435,75178,25,-26,-8,-405,-294,8248,-1784
451775.970891,75179,27,-22,-3,-392,-288,8260,-1786
451775.981816,75180,28,-19,-5,-393,-287,8249,-1786
451775.990469,75181,25,-27,-10,-390,-291,8241,-1782
451776.000350,75182,29,-22,-11,-391,-298,8239,-1782
451776.010328,75183,23,-27,-6,-382,-289,8252,-1790
451776.022015,75184,23,-25,-8,-390,-285,8262,-1790
